union,performance,framing,id,round,overextraction,observer,overext_observed,report,punished,round_profit,group_id
1,1,2,2568112,20,50,1,50,0,NA,970,112
1,1,2,2889112,20,50,0,NA,NA,0,720,112
1,1,2,3210112,20,40,0,NA,NA,0,570,112
2,1,1,321221,1,0,NA,NA,NA,NA,990,221
2,1,1,642211,1,0,NA,NA,NA,NA,1000,211
2,1,1,963221,1,0,NA,NA,NA,NA,990,221
2,1,1,1284221,1,2,NA,NA,NA,NA,1020,221
2,1,1,1605211,1,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,1,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,1,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,1,0,NA,NA,NA,NA,990,221
2,1,1,2889211,1,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,1,0,NA,NA,NA,NA,990,221
2,1,1,321221,2,0,NA,NA,NA,NA,990,221
2,1,1,642211,2,0,NA,NA,NA,NA,1000,211
2,1,1,963221,2,0,NA,NA,NA,NA,990,221
2,1,1,1284221,2,1,NA,NA,NA,NA,1000,221
2,1,1,1605211,2,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,2,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,2,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,2,1,NA,NA,NA,NA,1000,221
2,1,1,2889211,2,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,2,0,NA,NA,NA,NA,990,221
2,1,1,321221,3,0,NA,NA,NA,NA,980,221
2,1,1,642211,3,0,NA,NA,NA,NA,1000,211
2,1,1,963221,3,0,NA,NA,NA,NA,980,221
2,1,1,1284221,3,2,NA,NA,NA,NA,1010,221
2,1,1,1605211,3,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,3,0,NA,NA,NA,NA,1000,211
2,1,1,2247211,3,0,NA,NA,NA,NA,1000,211
2,1,1,2568221,3,1,NA,NA,NA,NA,1000,221
2,1,1,2889211,3,0,NA,NA,NA,NA,1000,211
2,1,1,3210221,3,0,NA,NA,NA,NA,980,221
2,1,1,321221,4,0,NA,NA,NA,NA,990,221
2,1,1,642211,4,0,NA,NA,NA,NA,1000,211
2,1,1,963221,4,0,NA,NA,NA,NA,990,221
2,1,1,1284221,4,0,NA,NA,NA,NA,990,221
2,1,1,1605211,4,0,NA,NA,NA,NA,1000,211
2,1,1,1926211,4,0,NA,NA,NA,NA,1000,211
